loss
10.9796
10.6422
10.1029
9.6971
9.6361
9.4784
9.2822
9.321
9.0114
8.7401
8.7012
8.67
8.2879
8.5885
8.2636
8.0698
7.5829
7.825
7.6243
8.3169
7.0527
7.4272
7.0869
7.048
7.1072
7.1177
7.0051
6.9804
6.9527
6.9592
6.7148
6.5891
6.7318
6.5171
6.7992
6.6467
6.5984
6.3411
6.2876
6.9847
6.3799
6.7479
6.5379
6.6205
6.4009
6.5471
6.3878
6.3126
6.4843
6.3074
6.421
6.3056
6.2955
6.1463
6.4261
6.2216
6.0648
6.2508
5.8959
6.0586
6.4014
6.3589
6.3557
5.8885
6.1412
5.6319
5.9259
5.9933
6.0878
5.7935
6.0514
5.8741
6.1539
5.4142
5.5925
5.884
5.7608
5.8189
5.5281
5.6671
5.6086
5.86
5.5607
5.3411
5.6612
5.6852
5.5475
5.8745
5.4527
5.19
5.7222
5.7518
5.6698
5.5826
5.4464
5.9875
5.5003
5.3001
5.3345
5.5202
5.4495
5.5612
5.1697
5.0965
5.3969
5.4989
5.463
5.3881
5.3301
5.6141
5.6021
5.2688
5.3454
5.2225
5.4342
5.3342
5.3842
5.2349
5.4612
5.3053
5.4972
5.4251
5.2236
5.6326
5.1381
5.2796
5.0153
5.2161
4.9086
5.38
4.8824
5.035
5.1392
5.0646
4.9622
5.1694
5.4169
5.217
5.082
5.1443
5.1595
5.1285
4.9593
4.9164
4.8373
4.8485
4.7518
5.0776
4.9818
4.7819
4.8244
4.7801
4.8999
4.9361
5.1791
4.873
5.2056
5.1319
4.6541
4.8685
4.9079
4.7979
4.6849
5.2107
4.8455
4.8488
4.8531
5.0017
4.6267
5.1949
4.5435
4.6717
4.7028
4.6733
4.6417
4.8344
4.6225
4.8096
4.7778
4.8013
4.7666
4.2562
4.8075
4.7013
4.6073
4.2954
4.4299
4.8299
4.7422
4.5642
4.7261
4.8305
4.4769
4.602
4.6432
4.5621
4.5503
4.3753
4.7586
4.851
4.5014
4.8421
4.3922
4.3592
4.3863
4.6676
4.4667
4.7205
4.6211
4.2718
4.9206
4.4817
4.2401
4.2632
4.4851
4.6805
4.5832
4.8414
4.5268
4.4193
4.6111
4.2393
4.5462
4.4395
4.2949
4.3072
4.7032
4.3426
3.9873
4.363
4.5665
4.3732
4.8477
4.3567
4.5515
4.2599
4.3454
4.9091
4.0407
4.5586
4.2916
4.4325
4.1516
4.3159
4.2452
4.6809
4.4917
4.1312
4.3733
4.1696
4.1369
4.2808
4.4108
3.9652
4.2601
3.9774
4.3414
4.3952
4.1167
4.2435
4.2481
4.2454
4.2828
4.1967
3.9904
4.3885
4.2873
4.1122
4.5453
4.3712
4.2802
4.4994
4.5529
4.4422
4.4698
4.3678
4.3915
4.5522
4.0555
4.0224
4.262
4.1576
4.1506
4.2011
4.1293
4.3971
4.0118
4.1033
4.4988
4.3371
4.0477
3.9429
4.6195
4.3422
4.2768
4.2769
3.8763
4.082
4.3289
4.1656
4.3519
3.9549
4.136
4.1859
3.9601
4.4897
4.1442
3.8813
4.355
3.9523
4.3299
3.8583
3.9808
4.0716
4.2686
4.1503
4.188
4.056
4.1296
4.1318
4.1977
4.3771
4.1649
4.2078
4.0907
4.3069
4.2098
3.95
4.2678
4.2112
4.1291
4.094
4.2419
4.1109
4.1247
3.9681
4.1859
4.2316
4.271
4.2168
4.2773
4.12
3.9794
4.1877
3.8163
3.7898
4.0205
4.5124
4.0462
4.1383
4.3527
3.7819
3.7655
4.3076
4.1941
4.1965
3.9905
4.1308
4.2181
4.1631
4.028
3.8761
4.2604
4.1763
3.8267
4.1606
