iteration,train_loss,val_loss,timestamp,lr,mfu
0,10.974174,10.976262,1770361306.7038703,0.00000030,-1.0000
0,10.979574,10.951904,1770361310.610346,0.00000030,-1.0000
10,10.447906,10.461568,1770361348.3088584,0.00000330,0.0369
20,9.983307,9.999562,1770361385.7641826,0.00000630,0.0369
30,9.658092,9.569676,1770361423.222034,0.00000930,0.0369
40,9.603282,9.318662,1770361460.6529715,0.00001229,0.0369
50,9.392610,9.878941,1770361498.0819452,0.00001529,0.0369
60,9.194924,9.339522,1770361535.5139306,0.00001829,0.0368
70,9.231127,8.965528,1770361573.0124063,0.00002129,0.0369
80,8.841171,9.021385,1770361610.4974587,0.00002429,0.0368
90,8.581499,8.483489,1770361647.930321,0.00002729,0.0368
100,8.458453,8.573749,1770361685.3617635,0.00003028,0.0368
110,8.304608,8.068942,1770361722.8016696,0.00003328,0.0368
120,7.879745,7.901031,1770361760.2598486,0.00003628,0.0368
130,8.126504,7.865808,1770361797.7196095,0.00003928,0.0368
140,7.763480,7.503151,1770361835.1366515,0.00004228,0.0368
150,7.510376,7.262510,1770361872.577769,0.00004528,0.0368
160,7.041307,7.994975,1770361910.0792637,0.00004828,0.0368
170,7.310308,7.144198,1770361947.5263512,0.00005127,0.0368
180,7.072460,6.885864,1770361984.9520166,0.00005427,0.0368
190,7.890422,6.902849,1770362022.400183,0.00005727,0.0368
200,6.501181,6.817386,1770362059.8197463,0.00006027,0.0368
210,7.006003,6.768415,1770362097.2587717,0.00006327,0.0368
220,6.682207,7.295759,1770362134.6757448,0.00006627,0.0368
230,6.655884,6.893461,1770362172.123179,0.00006927,0.0368
240,6.734799,7.152367,1770362209.547556,0.00007226,0.0368
250,6.771044,6.755744,1770362246.989038,0.00007526,0.0368
260,6.640918,6.322725,1770362284.4073198,0.00007826,0.0368
270,6.677818,6.288881,1770362321.8512914,0.00008126,0.0368
280,6.623077,6.541664,1770362359.2668035,0.00008426,0.0368
290,6.619280,6.734358,1770362396.713998,0.00008726,0.0368
300,6.367119,6.375149,1770362434.1358113,0.00009025,0.0368
310,6.217823,6.485863,1770362471.582897,0.00009325,0.0368
320,6.387095,6.559447,1770362509.004318,0.00009625,0.0368
330,6.194506,6.290593,1770362546.4500246,0.00009925,0.0368
340,6.507418,6.089209,1770362583.8720748,0.00010225,0.0368
350,6.303557,6.607525,1770362621.3185828,0.00010525,0.0368
360,6.307647,5.901781,1770362658.7528088,0.00010825,0.0368
370,6.065880,6.651747,1770362696.2007122,0.00011124,0.0368
