Optimizer,Iterations,Final Train Loss,Final Val Loss,Min Val Loss,Overfitting,Train Loss Decline Rate,Val Loss Decline Rate,Overall Decline Rate,Train Loss Std,Val Loss Std,Train Stability,Val Stability,Avg Learning Rate,Final Learning Rate
AdamW,2002,3.349011,3.422665,2.922163,0.4268480000000001,0.000804026354841729,0.0007817935325114061,0.0007929099436765675,0.7268258448751017,0.7121494474547919,0.21702701032486957,0.2080686971861961,0.0003267342707292707,6e-05
Sophia,2002,5.2772,5.337686,4.56614,0.7110599999999998,0.0001457218879252411,0.00013552071011979717,0.00014062129902251913,0.4228321992989954,0.4288176969264336,0.08012434611138396,0.08033775252542649,0.00030646983016983015,1.5e-05
AdamSNSM,2002,3.391771,3.461185,3.032616,0.3591549999999999,0.0009341108775790163,0.0009140520364320644,0.0009240814570055404,0.8032499609487946,0.7905342560310477,0.23682317024020627,0.22839988501945074,0.0032673332167832167,0.0006
