iteration,train_loss,val_loss,timestamp,lr,mfu
2650,5.27788,5.446389,1770371334.9178343,0.00059812,0.0361
2660,5.446722,5.517866,1770371372.334715,0.00059806,0.0362
2670,5.071899,4.985701,1770371409.781608,0.000598,0.0363
2680,5.466032,5.071167,1770371447.204264,0.00059794,0.0363
2690,5.169431,5.655504,1770371484.64676,0.00059788,0.0364
2700,5.305527,5.254094,1770371522.0577407,0.00059782,0.0364
2710,5.374105,4.992973,1770371559.5335116,0.00059776,0.0364
2720,5.628575,5.252917,1770371596.9590137,0.00059769,0.0365
2730,5.361075,5.371267,1770371634.3930433,0.00059763,0.0365
2740,5.494013,5.353198,1770371671.8069785,0.00059756,0.0365
2750,5.305569,5.449221,1770371709.2296865,0.0005975,0.0366
2760,5.265586,5.347247,1770371746.6436963,0.00059743,0.0366
2770,5.388377,5.146539,1770371784.079934,0.00059736,0.0366
2780,5.167366,5.466076,1770371821.5092876,0.00059729,0.0366
2790,4.820169,5.059453,1770371858.9497075,0.00059722,0.0366
2800,5.201218,4.911301,1770371896.3709452,0.00059715,0.0367
2810,5.112813,5.525215,1770371933.8145828,0.00059708,0.0367
2820,5.135718,4.850205,1770371971.2427108,0.00059701,0.0367
2830,5.048133,5.120864,1770372017.7881014,0.00059694,0.0341
2840,5.035639,5.265067,1770372058.8444514,0.00059686,0.0344
2850,5.265431,5.401721,1770372096.3055503,0.00059679,0.0346
2860,5.016544,4.770356,1770372133.7555368,0.00059671,0.0348
2870,5.077641,5.297553,1770372171.216775,0.00059663,0.035
2880,5.459662,5.199005,1770372208.6566448,0.00059656,0.0352
2890,5.239643,5.183711,1770372246.1135583,0.00059648,0.0353
2900,4.956997,5.459616,1770372283.5467184,0.0005964,0.0355
2910,4.961303,5.495251,1770372320.9986656,0.00059632,0.0356
2920,5.529386,5.576008,1770372358.4425845,0.00059624,0.0357
2930,5.164202,5.21507,1770372395.8921466,0.00059616,0.0358
2940,5.26495,5.377939,1770372433.337674,0.00059607,0.0359
2950,5.366959,5.490086,1770372470.7973883,0.00059599,0.036
2960,4.743128,5.074443,1770372508.2413614,0.0005959,0.0361
2970,5.005544,5.303526,1770372545.706384,0.00059582,0.0362
2980,5.167128,5.24144,1770372583.187744,0.00059573,0.0362
2990,5.009235,5.411598,1770372620.6456485,0.00059564,0.0363
3000,5.235016,5.186999,1770372670.9576535,0.00059556,0.0363
3010,5.153285,4.891959,1770372716.526853,0.00059547,0.0336
3020,5.028202,5.015044,1770372754.0442543,0.00059538,0.0339
3030,5.371678,5.183773,1770372791.5898368,0.00059529,0.0342
3040,4.911768,4.941582,1770372829.1155033,0.00059519,0.0344
3050,5.48622,5.068778,1770372866.661885,0.0005951,0.0346
3060,5.288689,5.519793,1770372904.1931758,0.00059501,0.0348
3070,4.974857,5.07989,1770372941.7379856,0.00059491,0.035
3080,5.469004,5.268872,1770372979.2989132,0.00059482,0.0352
3090,4.811887,5.672187,1770373016.8266804,0.00059472,0.0353
3100,5.362254,5.13977,1770373054.3520255,0.00059463,0.0355
3110,5.038339,5.289014,1770373091.8992348,0.00059453,0.0356
3120,5.3878,5.256341,1770373129.4221458,0.00059443,0.0357
3130,4.93196,5.219463,1770373166.9720228,0.00059433,0.0358
3140,5.311869,5.289392,1770373204.4946375,0.00059423,0.0359
3150,5.103049,5.231102,1770373242.0480096,0.00059413,0.036
3160,5.087082,5.214937,1770373279.547199,0.00059403,0.036
3170,5.066798,5.020344,1770373317.0091488,0.00059392,0.0361
3180,5.22615,5.087986,1770373354.4982228,0.00059382,0.0362
3190,5.261423,5.271484,1770373392.0478034,0.00059371,0.0362
3200,5.265405,5.459441,1770373429.5748663,0.00059361,0.0363
3210,5.360665,5.156408,1770373467.1228876,0.0005935,0.0363
3220,5.379466,5.066879,1770373504.6532795,0.00059339,0.0363
3230,5.198256,5.091249,1770373542.198303,0.00059329,0.0364
