iter 900: loss 5.7222, time 3806.69ms, mfu 3.58%
iter 910: loss 5.7518, time 3806.64ms, mfu 3.58%
iter 920: loss 5.6698, time 3793.15ms, mfu 3.58%
iter 930: loss 5.5826, time 3798.87ms, mfu 3.58%
iter 940: loss 5.4464, time 3801.28ms, mfu 3.58%
iter 950: loss 5.9875, time 3797.39ms, mfu 3.58%
iter 960: loss 5.5003, time 3797.83ms, mfu 3.58%
iter 970: loss 5.3001, time 3793.78ms, mfu 3.58%
iter 980: loss 5.3345, time 3797.88ms, mfu 3.59%
iter 990: loss 5.5202, time 3795.95ms, mfu 3.59%
Iter 1000: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
step 1000: train loss 5.4727, val loss 5.4747
saving checkpoint to out-subset-norm
iter 1000: loss 5.4495, time 23443.06ms, mfu 3.29%
iter 1010: loss 5.5612, time 3806.06ms, mfu 3.31%
iter 1020: loss 5.1697, time 3787.49ms, mfu 3.34%
iter 1030: loss 5.0965, time 3801.95ms, mfu 3.37%
iter 1040: loss 5.3969, time 3799.30ms, mfu 3.39%
iter 1050: loss 5.4989, time 3793.51ms, mfu 3.41%
iter 1060: loss 5.4630, time 3797.96ms, mfu 3.43%
iter 1070: loss 5.3881, time 3792.40ms, mfu 3.44%
iter 1080: loss 5.3301, time 3793.65ms, mfu 3.46%
iter 1090: loss 5.6141, time 3799.49ms, mfu 3.47%
Iter 1100: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 1100: loss 5.6021, time 3802.67ms, mfu 3.48%
iter 1110: loss 5.2688, time 3801.22ms, mfu 3.49%
iter 1120: loss 5.3454, time 3800.97ms, mfu 3.50%
iter 1130: loss 5.2225, time 3798.64ms, mfu 3.51%
iter 1140: loss 5.4342, time 3791.57ms, mfu 3.52%
iter 1150: loss 5.3342, time 3792.69ms, mfu 3.53%
iter 1160: loss 5.3842, time 3799.94ms, mfu 3.53%
iter 1170: loss 5.2349, time 3796.61ms, mfu 3.54%
iter 1180: loss 5.4612, time 3793.44ms, mfu 3.54%
iter 1190: loss 5.3053, time 3803.32ms, mfu 3.55%
Iter 1200: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 1200: loss 5.4972, time 3825.02ms, mfu 3.55%
iter 1210: loss 5.4251, time 3801.90ms, mfu 3.55%
iter 1220: loss 5.2236, time 3795.94ms, mfu 3.56%
iter 1230: loss 5.6326, time 3794.36ms, mfu 3.56%
iter 1240: loss 5.1381, time 3803.20ms, mfu 3.56%
iter 1250: loss 5.2796, time 3795.20ms, mfu 3.57%
iter 1260: loss 5.0153, time 3806.00ms, mfu 3.57%
iter 1270: loss 5.2161, time 3799.94ms, mfu 3.57%
iter 1280: loss 4.9086, time 3796.33ms, mfu 3.57%
iter 1290: loss 5.3800, time 3797.07ms, mfu 3.57%
Iter 1300: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 1300: loss 4.8824, time 3792.53ms, mfu 3.57%
iter 1310: loss 5.0350, time 3794.79ms, mfu 3.58%
iter 1320: loss 5.1392, time 3804.47ms, mfu 3.58%
iter 1330: loss 5.0646, time 3793.07ms, mfu 3.58%
iter 1340: loss 4.9622, time 3796.65ms, mfu 3.58%
iter 1350: loss 5.1694, time 3797.60ms, mfu 3.58%
iter 1360: loss 5.4169, time 3795.33ms, mfu 3.58%
iter 1370: loss 5.2170, time 3802.24ms, mfu 3.58%
iter 1380: loss 5.0820, time 4090.23ms, mfu 3.56%
iter 1390: loss 5.1443, time 3802.85ms, mfu 3.56%
Iter 1400: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 1400: loss 5.1595, time 3792.16ms, mfu 3.56%
iter 1410: loss 5.1285, time 3829.32ms, mfu 3.56%
iter 1420: loss 4.9593, time 3797.24ms, mfu 3.57%
iter 1430: loss 4.9164, time 3799.82ms, mfu 3.57%
iter 1440: loss 4.8373, time 3796.05ms, mfu 3.57%
iter 1450: loss 4.8485, time 3796.83ms, mfu 3.57%
iter 1460: loss 4.7518, time 3796.15ms, mfu 3.57%
iter 1470: loss 5.0776, time 3791.73ms, mfu 3.58%
iter 1480: loss 4.9818, time 3827.48ms, mfu 3.57%
iter 1490: loss 4.7819, time 3796.95ms, mfu 3.58%
Iter 1500: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
step 1500: train loss 4.9611, val loss 5.0143
saving checkpoint to out-subset-norm
iter 1500: loss 4.8244, time 23657.83ms, mfu 3.28%
iter 1510: loss 4.7801, time 3799.77ms, mfu 3.31%
iter 1520: loss 4.8999, time 3796.57ms, mfu 3.33%
iter 1530: loss 4.9361, time 3792.66ms, mfu 3.36%
iter 1540: loss 5.1791, time 3806.52ms, mfu 3.38%
iter 1550: loss 4.8730, time 3806.01ms, mfu 3.40%
iter 1560: loss 5.2056, time 3806.51ms, mfu 3.42%
iter 1570: loss 5.1319, time 3795.54ms, mfu 3.44%
iter 1580: loss 4.6541, time 3796.82ms, mfu 3.45%
iter 1590: loss 4.8685, time 3800.01ms, mfu 3.47%
Iter 1600: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 1600: loss 4.9079, time 3808.46ms, mfu 3.48%
iter 1610: loss 4.7979, time 3801.66ms, mfu 3.49%
iter 1620: loss 4.6849, time 3801.89ms, mfu 3.50%
iter 1630: loss 5.2107, time 3797.73ms, mfu 3.51%
iter 1640: loss 4.8455, time 3804.96ms, mfu 3.51%
iter 1650: loss 4.8488, time 3797.09ms, mfu 3.52%
iter 1660: loss 4.8531, time 3794.74ms, mfu 3.53%
iter 1670: loss 5.0017, time 3795.83ms, mfu 3.53%
iter 1680: loss 4.6267, time 3794.03ms, mfu 3.54%
iter 1690: loss 5.1949, time 3799.72ms, mfu 3.55%
Iter 1700: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 1700: loss 4.5435, time 3792.36ms, mfu 3.55%
iter 1710: loss 4.6717, time 3797.63ms, mfu 3.55%
iter 1720: loss 4.7028, time 3796.62ms, mfu 3.56%
iter 1730: loss 4.6733, time 3789.80ms, mfu 3.56%
iter 1740: loss 4.6417, time 3794.98ms, mfu 3.56%
iter 1750: loss 4.8344, time 3787.94ms, mfu 3.57%
iter 1760: loss 4.6225, time 3793.98ms, mfu 3.57%
iter 1770: loss 4.8096, time 3799.07ms, mfu 3.57%
iter 1780: loss 4.7778, time 3802.50ms, mfu 3.57%
iter 1790: loss 4.8013, time 3795.15ms, mfu 3.57%
Iter 1800: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 1800: loss 4.7666, time 3794.99ms, mfu 3.58%
iter 1810: loss 4.2562, time 3853.75ms, mfu 3.57%
iter 1820: loss 4.8075, time 3800.88ms, mfu 3.57%
iter 1830: loss 4.7013, time 3793.41ms, mfu 3.58%
iter 1840: loss 4.6073, time 3793.81ms, mfu 3.58%
iter 1850: loss 4.2954, time 3799.36ms, mfu 3.58%
iter 1860: loss 4.4299, time 3800.02ms, mfu 3.58%
iter 1870: loss 4.8299, time 3790.22ms, mfu 3.58%
iter 1880: loss 4.7422, time 3792.65ms, mfu 3.58%
iter 1890: loss 4.5642, time 3798.60ms, mfu 3.58%
Iter 1900: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 1900: loss 4.7261, time 3798.58ms, mfu 3.58%
iter 1910: loss 4.8305, time 3795.81ms, mfu 3.58%
iter 1920: loss 4.4769, time 3798.86ms, mfu 3.58%
iter 1930: loss 4.6020, time 3800.72ms, mfu 3.58%
iter 1940: loss 4.6432, time 3800.42ms, mfu 3.58%
iter 1950: loss 4.5621, time 3794.93ms, mfu 3.59%
iter 1960: loss 4.5503, time 3800.83ms, mfu 3.59%
iter 1970: loss 4.3753, time 3800.95ms, mfu 3.59%
iter 1980: loss 4.7586, time 3820.70ms, mfu 3.58%
iter 1990: loss 4.8510, time 3802.76ms, mfu 3.58%
Iter 2000: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
step 2000: train loss 4.5762, val loss 4.5854
saving checkpoint to out-subset-norm
iter 2000: loss 4.5014, time 23555.39ms, mfu 3.28%
iter 2010: loss 4.8421, time 3796.37ms, mfu 3.31%
iter 2020: loss 4.3922, time 3809.69ms, mfu 3.34%
iter 2030: loss 4.3592, time 3801.94ms, mfu 3.36%
iter 2040: loss 4.3863, time 3794.29ms, mfu 3.39%
iter 2050: loss 4.6676, time 3807.92ms, mfu 3.41%
iter 2060: loss 4.4667, time 3799.76ms, mfu 3.42%
iter 2070: loss 4.7205, time 3805.14ms, mfu 3.44%
iter 2080: loss 4.6211, time 3805.96ms, mfu 3.45%
iter 2090: loss 4.2718, time 3796.19ms, mfu 3.47%
Iter 2100: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 2100: loss 4.9206, time 3804.21ms, mfu 3.48%
iter 2110: loss 4.4817, time 3799.04ms, mfu 3.49%
iter 2120: loss 4.2401, time 3797.15ms, mfu 3.50%
iter 2130: loss 4.2632, time 3795.92ms, mfu 3.51%
iter 2140: loss 4.4851, time 3799.42ms, mfu 3.52%
iter 2150: loss 4.6805, time 3792.69ms, mfu 3.52%
iter 2160: loss 4.5832, time 3800.11ms, mfu 3.53%
iter 2170: loss 4.8414, time 3791.31ms, mfu 3.54%
iter 2180: loss 4.5268, time 3786.03ms, mfu 3.54%
iter 2190: loss 4.4193, time 3795.57ms, mfu 3.55%
Iter 2200: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 2200: loss 4.6111, time 3794.04ms, mfu 3.55%
iter 2210: loss 4.2393, time 3844.03ms, mfu 3.55%
iter 2220: loss 4.5462, time 3797.46ms, mfu 3.56%
iter 2230: loss 4.4395, time 3789.15ms, mfu 3.56%
iter 2240: loss 4.2949, time 3796.76ms, mfu 3.56%
iter 2250: loss 4.3072, time 3790.26ms, mfu 3.57%
iter 2260: loss 4.7032, time 3807.40ms, mfu 3.57%
iter 2270: loss 4.3426, time 3791.04ms, mfu 3.57%
iter 2280: loss 3.9873, time 3792.57ms, mfu 3.57%
iter 2290: loss 4.3630, time 3799.44ms, mfu 3.57%
Iter 2300: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 2300: loss 4.5665, time 3794.87ms, mfu 3.58%
iter 2310: loss 4.3732, time 3802.96ms, mfu 3.58%
